ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç êVãªçëäîéÆÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2019/01/16,9408,9408,,116.99
2019/01/17,9504,9504,,119.07
2019/01/18,9543,9543,,119.95
2019/01/21,9634,9634,,121.31
2019/01/22,9644,9644,,121.78
2019/01/23,9547,9547,,120.55
2019/01/24,9584,9584,,122.07
2019/01/25,9666,9666,,123.25
2019/01/28,9760,9760,,124.84
2019/01/29,9698,9698,,124.39
2019/01/30,9726,9726,,125.44
2019/01/31,9786,9786,,126.38
2019/02/01,9891,9891,,127.93
2019/02/04,9937,9937,,128.78
2019/02/05,9957,9957,,130.11
2019/02/06,9999,9999,,131.43
2019/02/07,9955,9955,,130.85
2019/02/08,9885,9885,,129.92
2019/02/12,9888,9888,,129.96
2019/02/13,9969,9969,,132.12
2019/02/14,9980,9980,,133.29
2019/02/15,9940,9940,,133.21
2019/02/18,9858,9858,,132.05
2019/02/19,9903,9903,,133.40
2019/02/20,9935,9935,,133.84
2019/02/21,10035,10035,,135.70
2019/02/22,10061,10061,,136.47
2019/02/25,10152,10152,,137.98
2019/02/26,10254,10254,,139.63
2019/02/27,10197,10197,,139.43
2019/02/28,10182,10182,,139.68
2019/03/01,10142,10142,,139.84
2019/03/04,10184,10184,,140.83
2019/03/05,10195,10195,,142.22
2019/03/06,10201,10201,,143.12
2019/03/07,10196,10196,,144.09
2019/03/08,10057,10057,,142.45
2019/03/11,9885,9885,,140.34
2019/03/12,10054,10054,,142.30
2019/03/13,10122,10122,,143.93
2019/03/14,10117,10117,,144.38
2019/03/15,10153,10153,,145.06
2019/03/18,10209,10209,,146.09
2019/03/19,10300,10300,,148.13
2019/03/20,10338,10338,,149.19
2019/03/22,10249,10249,,148.01
2019/03/25,10065,10065,,145.79
2019/03/26,9991,9991,,145.05
2019/03/27,10041,10041,,146.12
2019/03/28,9961,9961,,145.45
2019/03/29,10051,10051,,147.15
2019/04/01,10177,10177,,149.29
2019/04/02,10326,10326,,151.54
2019/04/03,10347,10347,,153.27
2019/04/04,10424,10424,,154.72
2019/04/05,10460,10460,,155.39
2019/04/08,10469,10469,,155.36
2019/04/09,10506,10506,,155.90
2019/04/10,10523,10523,,155.83
2019/04/11,10550,10550,,156.34
2019/04/12,10514,10514,,156.01
2019/04/15,10569,10569,,156.88
2019/04/16,10538,10538,,157.04
2019/04/17,10624,10624,,159.00
2019/04/18,10641,10641,,159.70
2019/04/19,10608,10608,,159.50
2019/04/22,10603,10603,,159.66
2019/04/23,10548,10548,,158.82
2019/04/24,10578,10578,,159.28
2019/04/25,10529,10529,0,159.14
2019/04/26,10435,10435,,157.93
2019/05/07,10203,10203,,154.81
2019/05/08,10087,10087,,153.30
2019/05/09,10018,10018,,154.87
2019/05/10,9804,9804,,152.85
2019/05/13,9831,9831,,154.23
2019/05/14,9636,9636,,151.89
2019/05/15,9642,9642,,151.99
2019/05/16,9649,9649,,153.53
2019/05/17,9636,9636,,154.29
2019/05/20,9534,9534,,154.04
2019/05/21,9500,9500,,153.88
2019/05/22,9582,9582,,156.10
2019/05/23,9551,9551,,155.95
2019/05/24,9389,9389,,153.74
2019/05/27,9387,9387,,154.53
2019/05/28,9406,9406,,155.28
2019/05/29,9374,9374,,154.75
2019/05/30,9411,9411,,156.59
2019/05/31,9446,9446,,157.26
2019/06/03,9405,9405,,156.92
2019/06/04,9474,9474,,158.54
2019/06/05,9470,9470,,159.30
2019/06/06,9466,9466,,159.55
2019/06/07,9474,9474,,160.10
2019/06/10,9516,9516,,161.18
2019/06/11,9649,9649,,163.43
2019/06/12,9769,9769,,166.83
2019/06/13,9687,9687,,165.79
2019/06/14,9654,9654,,165.85
2019/06/17,9600,9600,,165.59
2019/06/18,9570,9570,,165.24
2019/06/19,9700,9700,,168.38
2019/06/20,9791,9791,,170.19
2019/06/21,9883,9883,,172.10
2019/06/24,9870,9870,,172.32
2019/06/25,9872,9872,,172.58
2019/06/26,9797,9797,,171.62
2019/06/27,9867,9867,,173.52
2019/06/28,9949,9949,,175.39
2019/07/01,9986,9986,,176.32
2019/07/02,10081,10081,,178.36
2019/07/03,10024,10024,,177.35
2019/07/04,10006,10006,,179.43
2019/07/05,10057,10057,,180.49
2019/07/08,10061,10061,,180.56
2019/07/09,9975,9975,,179.15
2019/07/10,9952,9952,,179.51
2019/07/11,9959,9959,,179.93
2019/07/12,10033,10033,,181.87
2019/07/16,10007,10007,,181.53
2019/07/17,10060,10060,,183.08
2019/07/18,9973,9973,,182.52
2019/07/19,9944,9944,,182.13
2019/07/22,10008,10008,,183.47
2019/07/23,9988,9988,,183.21
2019/07/24,10017,10017,,184.34
2019/07/25,10015,10015,,184.47
2019/07/26,10050,10050,,185.41
