Ç¬Ç›ÇΩÇƒÇWéëéYãœìôÉoÉâÉìÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2020/01/20,11725,11725,,173.42
2020/01/21,11713,11713,,174.11
2020/01/22,11693,11693,,173.82
2020/01/23,11685,11685,,174.96
2020/01/24,11675,11675,,174.86
2020/01/27,11600,11600,,173.76
2020/01/28,11519,11519,,172.64
2020/01/29,11557,11557,,173.22
2020/01/30,11539,11539,,172.94
2020/01/31,11528,11528,,175.82
2020/02/03,11417,11417,,174.28
2020/02/04,11441,11441,,176.02
2020/02/05,11586,11586,,181.05
2020/02/06,11656,11656,,182.12
2020/02/07,11683,11683,,182.70
2020/02/10,11625,11625,,182.26
2020/02/12,11690,11690,,183.26
2020/02/13,11715,11715,,184.70
2020/02/14,11707,11707,,184.77
2020/02/17,11714,11714,,184.89
2020/02/18,11704,11704,,184.73
2020/02/19,11691,11691,,184.52
2020/02/20,11794,11794,,187.42
2020/02/21,11829,11829,,188.08
2020/02/25,11565,11565,,184.66
2020/02/26,11421,11421,,182.56
2020/02/27,11323,11323,,182.87
2020/02/28,11009,11009,,178.39
2020/03/02,10813,10813,,175.51
2020/03/03,10961,10961,,178.12
2020/03/04,10935,10935,,182.08
2020/03/05,11092,11092,,184.87
2020/03/06,10871,10871,,181.28
2020/03/09,10359,10359,,172.93
2020/03/10,10164,10164,,170.24
2020/03/11,10323,10323,,173.02
2020/03/12,9989,9989,,168.35
2020/03/13,9422,9422,,158.96
2020/03/16,9609,9609,,162.11
2020/03/17,9168,9168,,154.63
2020/03/18,9159,9159,,154.99
2020/03/19,8747,8747,,148.74
2020/03/23,8948,8948,,152.31
2020/03/24,8980,8980,,152.99
2020/03/25,9488,9488,,162.99
2020/03/26,9570,9570,,164.44
2020/03/27,9682,9682,,168.34
2020/03/30,9577,9577,,167.15
2020/03/31,9644,9644,,168.72
2020/04/01,9471,9471,,166.09
2020/04/02,9254,9254,,163.84
2020/04/03,9277,9277,,167.05
2020/04/06,9285,9285,,167.28
2020/04/07,9607,9607,,173.12
2020/04/08,9695,9695,,175.43
2020/04/09,9801,9801,,177.34
2020/04/10,9915,9915,,179.43
2020/04/13,9878,9878,,178.94
2020/04/14,9812,9812,,177.73
2020/04/15,9867,9867,,178.72
2020/04/16,9780,9780,,178.30
2020/04/17,9824,9824,,179.39
2020/04/20,9924,9924,,181.46
2020/04/21,9798,9798,,180.00
2020/04/22,9685,9685,,178.92
2020/04/23,9783,9783,,181.08
2020/04/24,9749,9749,,180.51
2020/04/27,9798,9798,,181.43
2020/04/28,9853,9853,,182.50
2020/04/30,9997,9997,,188.14
2020/05/01,9966,9966,,187.79
2020/05/07,9747,9747,,183.67
2020/05/08,9900,9900,,186.55
2020/05/11,10042,10042,,194.81
2020/05/12,10012,10012,,194.23
2020/05/13,9887,9887,,193.17
2020/05/14,9786,9786,,191.22
2020/05/15,9794,9794,,191.44
2020/05/18,9796,9796,,191.48
2020/05/19,9993,9993,,195.66
2020/05/20,10057,10057,,198.04
2020/05/21,10101,10101,,198.99
2020/05/22,10093,10093,,199.90
2020/05/25,10089,10089,,200.11
2020/05/26,10161,10161,,201.59
2020/05/27,10274,10274,,203.82
2020/05/28,10365,10365,,208.33
2020/05/29,10357,10357,,208.58
2020/06/01,10362,10362,,208.87
2020/06/02,10466,10466,,211.37
2020/06/03,10653,10653,,219.57
2020/06/04,10734,10734,,221.31
2020/06/05,10766,10766,,222.03
2020/06/08,10937,10937,,225.44
2020/06/09,10912,10912,,225.01
2020/06/10,10856,10856,,223.85
2020/06/11,10708,10708,,221.45
2020/06/12,10474,10474,,217.60
2020/06/15,10455,10455,,217.35
2020/06/16,10577,10577,,219.92
2020/06/17,10647,10647,,221.76
2020/06/18,10598,10598,,221.00
2020/06/19,10557,10557,,221.04
2020/06/22,10521,10521,,220.30
2020/06/23,10571,10571,,221.53
2020/06/24,10581,10581,,223.11
2020/06/25,10490,10490,0,221.22
2020/06/26,10547,10547,,222.45
2020/06/29,10441,10441,,220.23
2020/06/30,10510,10510,,224.47
2020/07/01,10542,10542,,225.95
2020/07/02,10579,10579,,228.39
2020/07/03,10635,10635,,229.60
2020/07/06,10666,10666,,233.49
2020/07/07,10713,10713,,234.52
2020/07/08,10655,10655,,234.00
2020/07/09,10677,10677,,234.46
2020/07/10,10618,10618,,233.15
2020/07/13,10652,10652,,234.08
