ì˙ït,äÓèÄâøäz,èÉéëéYëçäz
20240517,25011.00,22870
20240520,25094.00,22976
20240521,25212.00,23147
20240522,25250.00,23661
20240523,25277.00,23704
20240524,25129.00,23604
20240527,25258.00,23776
20240528,25269.00,23823
20240529,25350.00,23899
20240530,25198.00,23914
20240531,24910.00,23767
20240603,25182.00,24088
20240604,25098.00,24080
20240605,24949.00,24418
20240606,25323.00,24826
20240607,25322.00,24915
20240610,25493.00,25112
20240611,25612.00,25262
20240612,25660.00,25577
20240613,25825.00,25893
20240614,25955.00,26051
20240617,25987.00,26135
20240618,26223.00,26461
20240619,26327.00,26959
20240620,26359.00,27076
20240621,26449.00,27168
20240624,26538.00,27869
20240625,26405.00,27815
20240626,26545.00,28021
20240627,26752.00,28317
20240628,26824.00,28428
20240701,26744.00,28361
20240702,26895.00,28582
20240703,27046.00,29345
20240704,27159.00,29533
20240705,27108.00,29556
20240708,27192.00,29647
20240709,27251.00,30137
20240710,27373.00,30454
20240711,27685.00,30886
20240712,26999.00,30398
20240716,27113.00,30769
20240717,27305.00,31095
20240718,26467.00,30512
20240719,26534.00,30658
20240722,26354.00,30545
20240723,26504.00,30803
20240724,26315.00,31109
20240725,25294.00,29962
20240726,25289.00,29946
20240729,25509.00,30235
20240730,25583.00,30399
20240731,25185.00,29981
20240801,25111.00,29911
20240802,24752.00,29507
20240805,23640.00,28670
20240806,22858.00,27722
20240807,23419.00,28164
20240808,23107.00,27674
20240809,23874.00,28658
20240813,23939.00,28795
20240814,24305.00,29281
20240815,24443.00,29917
20240816,25136.00,30810
20240819,24987.00,30896
20240820,24979.00,30948
20240821,24786.00,30872
20240822,24859.00,31428
20240823,24782.00,31381
20240826,24601.00,31179
20240827,24746.00,31340
20240828,24687.00,31331
20240829,24584.00,31208
20240830,24629.00,31295
20240902,25126.00,31936
20240903,25284.00,32143
20240904,24458.00,31092
20240905,24149.00,31209
20240906,23985.00,31015
20240909,23499.00,30471
20240910,23897.00,31008
20240911,23769.00,30899
20240912,24145.00,31604
20240913,24104.00,31735
20240917,24138.00,31806
20240918,24290.00,32024
20240919,24564.00,32706
20240920,24828.00,33099
20240924,25018.00,33375
20240925,25009.00,33840
20240926,25186.00,34094
20240927,25449.00,34466
20240930,24928.00,33769
20241001,25275.00,34245
20241002,25010.00,33920
20241003,25569.00,35174
20241004,25458.00,35030
20241007,25995.00,35803
20241008,25649.00,35325
20241009,25958.00,35872
20241010,26347.00,36479
20241011,26157.00,36238
20241015,26705.00,37240
20241016,26436.00,37020
20241017,26621.00,37520
20241018,26704.00,37691
20241021,26686.00,37732
20241022,26870.00,38062
20241023,26970.00,38703
20241024,26972.00,38695
20241025,26919.00,38586
20241028,27138.00,38933
20241029,27118.00,38925
20241030,27229.00,39133
20241031,27197.00,39095
20241101,26417.00,38010
20241105,26518.00,38163
20241106,26918.00,39285
20241107,27919.00,40889
20241108,27854.00,40850
20241111,27965.00,41022
20241112,28118.00,41165
20241113,28245.00,41351
20241114,28399.00,42008
20241115,28423.00,42095
20241118,27607.00,40935
20241119,27742.00,41466
20241120,27929.00,41918
20241121,27969.00,42068
20241122,28012.00,42686
20241125,28059.00,42871
20241126,28142.00,43070
20241127,28055.00,43050
20241128,27747.00,42640
20241129,27558.00,42399
20241202,27620.00,42494
20241203,27641.00,42621
20241204,27628.00,43211
20241205,27901.00,43677
20241206,27791.00,43544
20241209,27823.00,43734
20241210,27967.00,44001
20241211,27943.00,44135
20241212,28271.00,44932
20241213,28233.00,45112
20241216,28399.00,45426
20241217,28575.00,45759
20241218,28367.00,45750
20241219,27746.00,44781
20241220,28260.00,45664
20241223,28345.00,45933
20241224,28684.00,47082
20241225,28987.00,47643
20241226,28997.00,47612
20241227,29125.00,47822
20241230,28804.00,47379
20250106,28589.00,47042
20250107,28838.00,47504
20250108,28495.00,48208
20250109,28601.00,48621
20250110,28556.00,48716
20250114,28056.00,47863
20250115,28179.00,48594
20250116,28404.00,49349
20250117,28124.00,49201
20250120,28557.00,50126
20250121,28560.00,50255
20250122,28708.00,50515
20250123,29061.00,51836
20250124,29183.00,52148
20250127,28966.00,51813
20250128,28458.00,50909
20250129,28821.00,51742
20250130,28517.00,51310
20250131,28607.00,51624
20250203,28699.00,51886
20250204,28417.00,51476
20250205,28386.00,52105
20250206,28229.00,51922
20250207,28089.00,51835
20250210,27945.00,51684
20250212,28387.00,52595
20250213,28542.00,53241
20250214,28522.00,53483
20250217,28357.00,53286
20250218,28313.00,53391
20250219,28473.00,53694
20250220,28352.00,53930
20250221,27994.00,53307
20250225,27449.00,52767
20250226,27083.00,52131
20250227,27145.00,52361
20250228,26793.00,51865
20250303,27380.00,53092
20250304,26670.00,51786
20250305,26452.00,52014
20250306,26637.00,52467
20250307,25956.00,51322
20250310,25981.00,51419
20250311,25165.00,50221
20250312,25213.00,50633
20250313,25376.00,51242
20250314,25032.00,50592
20250317,25652.00,51888
20250318,25937.00,52787
20250319,25688.00,52685
20250321,25802.00,53027
20250324,25951.00,53507
20250325,26611.00,55452
20250326,26521.00,55318
20250327,26292.00,54894
20250328,26297.00,54970
20250331,25508.00,53415
20250401,25703.00,53855
20250402,25803.00,54152
20250403,25629.00,54363
20250404,24096.00,51179
20250407,22622.00,48076
20250408,22878.00,48654
20250409,22156.00,47200
20250410,24514.00,52430
20250411,23128.00,49588
20250414,23496.00,50752
20250415,23750.00,51497
20250416,23594.00,51258
20250417,23002.00,50254
20250418,23021.00,50378
20250421,22824.00,50046
20250422,22244.00,48774
20250423,22986.00,51048
20250424,23509.00,52261
20250425,24010.00,53385
20250428,24280.00,54036
20250430,24251.00,54018
20250501,24371.00,54391
20250502,25026.00,55905
20250507,24533.00,55398
20250508,24745.00,55928
20250509,25266.00,57300
20250512,25275.00,57384
20250513,26446.00,60075
